X_CMD,Y_CMD
1.2e-05,2e-06
1.2e-05,4e-06
1.1e-05,8e-06
9e-06,1e-05
7e-06,1.3e-05
4e-06,1.4e-05
9.99999999999997e-07,1.6e-05
-2e-06,1.7e-05
-6e-06,1.8e-05
-9e-06,1.7e-05
-1.3e-05,1.6e-05
-1.7e-05,1.5e-05
-1.9e-05,1.2e-05
-2.3e-05,1e-05
-2.5e-05,5.99999999999998e-06
-2.7e-05,3.00000000000002e-06
-2.9e-05,-2.00000000000002e-06
-2.9e-05,-5.99999999999998e-06
-3e-05,-1e-05
-2.9e-05,-1.6e-05
-2.8e-05,-2.1e-05
-2.6e-05,-2.5e-05
-2.2e-05,-3e-05
-2e-05,-3.3e-05
-1.5e-05,-3.8e-05
-9e-06,-4.1e-05
-4.99999999999996e-06,-4.3e-05
1.99999999999999e-06,-4.5e-05
7.00000000000001e-06,-4.6e-05
1.5e-05,-4.5e-05
2.1e-05,-4.5e-05
2.7e-05,-4.3e-05
3.4e-05,-4e-05
4e-05,-3.7e-05
4.6e-05,-3.1e-05
5.1e-05,-2.6e-05
5.5e-05,-2e-05
5.9e-05,-1.2e-05
6.1e-05,-5.00000000000001e-06
6.4e-05,2.99999999999996e-06
6.3e-05,1.2e-05
6.3e-05,2.1e-05
6.2e-05,2.9e-05
5.8e-05,3.7e-05
5.4e-05,4.6e-05
4.9e-05,5.4e-05
4.2e-05,6.1e-05
3.5e-05,6.7e-05
2.7e-05,7.2e-05
1.7e-05,7.7e-05
6.99999999999995e-06,8e-05
-1.99999999999994e-06,8.2e-05
-1.4e-05,8.2e-05
-2.4e-05,8.1e-05
-3.6e-05,7.9e-05
-4.59999999999999e-05,7.5e-05
-5.60000000000001e-05,7e-05
-6.6e-05,6.3e-05
-7.4e-05,5.49999999999999e-05
-8.2e-05,4.6e-05
-8.9e-05,3.6e-05
-9.4e-05,2.4e-05
-9.8e-05,1.3e-05
-0.000101,0
-0.000101,-1.3e-05
-0.0001,-2.7e-05
-9.8e-05,-3.90000000000001e-05
-9.29999999999999e-05,-5.2e-05
