X_CMD,Y_CMD
3e-06,1e-06
-1.8e-05,-3e-06
8e-06,2.1e-05
8e-06,-1.7e-05
4e-06,1.1e-05
6e-06,-1e-05
-6e-06,4e-06
1.4e-05,-1e-06
-0,1.2e-05
1.2e-05,4e-06
-1.2e-05,-6e-06
7e-06,1e-05
6e-06,-5e-06
3e-06,-1.5e-05
9e-06,-6e-06
1.9e-05,-5e-06
-4e-06,-5e-06
2.1e-05,5e-06
-1.6e-05,-1.4e-05
1.2e-05,3e-06
7e-06,-1.3e-05
-7e-06,4e-06
-1.9e-05,0
5e-06,-1e-05
-4e-06,1.2e-05
1.5e-05,-1.1e-05
4e-06,2e-06
-1.2e-05,1e-05
-6e-06,7e-06
-1.3e-05,-0
7e-06,5e-06
-5e-06,6e-06
-8e-06,-1.2e-05
3e-06,8e-06
4e-06,-1e-05
6e-06,2e-06
0,-3e-06
-3e-06,1.1e-05
-6e-06,-8e-06
2e-06,5e-06
-2e-06,1.7e-05
1e-05,1.3e-05
1.2e-05,-3e-06
-2.9e-05,1.3e-05
-5e-06,2.1e-05
3e-06,-1.2e-05
-1.4e-05,-6e-06
-2e-06,5e-06
-1e-05,1.5e-05
1e-05,-4e-06
-2.2e-05,-1e-06
3e-06,9e-06
-6e-06,-8e-06
7e-06,1e-05
-5e-06,5e-06
-1e-06,1e-06
1e-06,-1e-05
-1e-05,1e-06
4e-06,-1.3e-05
7e-06,-9e-06
5.99999999999999e-06,-3.2e-05
